"","yr1981","yr1982","yr1983","yr1984","yr1985","yr1987","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019"
"Lampetra_fluviatilis",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Chelon_auratus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lophius_piscatorius",11,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1
"Maurolicus_muelleri",0,0,0,2,0,0,0,0,0,0,0,2,3,2,4,10,1,1,0,1,4,1,2,3,6,9,4,0,0,1,0,0,2,0,0,0,1,0
"Merluccius_merluccius",9,7,52,1,9,0,21,21,24,7,20,14,5,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"Micromesistius_poutassou",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,53,2,0,2,0,1,0,5,0,0,1,0,0,0,0,0,2
"Microstomus_kitt",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molva_molva",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mullus_surmuletus",0,0,9,1,0,0,0,26,0,0,1,0,0,34,0,3,0,2,0,1,3,9,3,7,6,1,0,1,3,1,0,0,11,0,1,0,34,0
"Nerophis_lumbriciformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Petromyzon_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pleuronectes_platessa",1,0,1,0,4,2,4,1,6,2,12,1,14,7,21,4,1,3,5,6,19,11,0,2,15,5,10,2,8,9,4,14,4,3,2,1,18,4
"Pollachius_pollachius",3,10,6,2,6,4,4,2,3,0,3,1,12,6,0,1,7,7,1,8,2,1,6,2,6,0,4,1,2,5,0,12,17,1,0,0,1,1
"Pollachius_virens",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pomatoschistus_microps",6,0,0,2,0,0,0,0,2,1,0,25,2,4,2,0,2,2,1,0,0,2,0,23,0,19,11,12,3,22,10,0,2,6,1,4,31,15
"Pomatoschistus_pictus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scophthalmus_maximus",0,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,5,1,0,0,1,0,0,0,1,1,2,0,2,0,0,0,2,0,1
"Raja_brachyura",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raja_clavata",1,1,3,0,4,20,4,1,1,1,0,2,6,5,2,3,1,1,2,2,1,0,0,1,4,4,2,2,1,1,0,3,5,5,3,0,2,2
"Raja_microocellata",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raniceps_raninus",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Salmo_salar",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Sardina_pilchardus",0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Scophthalmus_rhombus",5,0,0,5,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
"Scyliorhinus_canicula",0,1,3,2,0,0,0,2,3,1,0,1,0,1,0,1,0,3,1,3,2,2,3,2,3,1,2,4,6,6,2,4,6,7,13,11,4,4
"Spinachia_spinachia",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"Spondyliosoma_cantharus",0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syngnathus_acus",0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,1,9,2,6,4,5,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0
"Syngnathus_rostellatus",3,5,2,3,1,1,3,1,5,0,0,0,2,3,2,2,2,1,0,5,8,2,8,0,0,2,1,2,2,1,7,2,4,3,3,0,3,5
"Echiichthys_vipera",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
"Trachurus_trachurus",0,0,0,1,1,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1,0,0,0,0
"Chelidonichthys_lucerna",0,2,4,0,0,1,2,5,7,0,0,0,0,2,1,2,0,1,0,1,2,0,1,0,0,0,0,0,3,5,0,20,0,1,0,6,6,14
"Trigla_lyra",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trisopterus_esmarkii",0,33,11,34,10,6,6,5,5,1,17,16,3,13,9,12,9,5,9,2,1,13,5,5,1,1,6,2,0,0,10,34,9,5,3,1,1,2
"Zeugopterus_punctatus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammodytes_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zeus_faber",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Capros_aper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,1,1
"Chelidonichthys_lastoviza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Salmo_trutta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Mustelus_asterias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Sparus_aurata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
