Species,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Echiichthys_vipera,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Engraulis_encrasicolus,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Entelurus_aequoreus,5,1,1,1,4,4,3,5,1,3,6,2,2,1,1,0,0,5,12,3,1,1,1,13,31,28,47,480,56,21,4,1,0,2,1,2,1,0,3
Eutrigla_gurnardus,0,0,7,3,1,3,4,1,0,5,5,55,6,6,3,10,1,4,23,12,15,8,2,5,13,8,287,31,1,0,2,3,46,18,20,104,57,132,44
Gadus_morhua,1,2,7,3,1,46,91,16,6,129,17,57,64,106,17,17,28,14,91,214,31,22,12,9,50,23,64,28,538,111,13,6,178,39,38,32,20,71,5
Gaidropsarus_vulgaris,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,2,1,0,1,1
Gasterosteus_aculeatus,0,0,1,0,0,0,0,2,1,0,4,0,3,4,1,0,2,2,1,2,12,1,1,2,5,1,1,3,0,2,1,8,1,5,0,1,1,1,0
Glyptocephalus_cynoglossus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobius_niger,0,0,0,1,5,3,0,0,2,0,0,0,3,0,0,0,0,2,0,0,5,0,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Gobius_paganellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,1,1,1
Hyperoplus_lanceolatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Labrus_bergylta,3,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Labrus_mixtus,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lampetra_fluviatilis,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Limanda_limanda,70,65,82,199,56,75,94,39,85,14,75,72,40,58,128,11,127,36,19,25,31,12,20,26,18,42,9,47,8,13,58,57,14,7,2,47,7,106,33
Liparis_liparis,199,210,90,229,281,213,144,102,55,43,71,71,45,57,47,71,319,88,27,18,34,60,98,92,25,14,102,63,16,50,144,155,119,5,38,77,54,100,51
Lophius_piscatorius,11,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1
Maurolicus_muelleri,0,0,0,2,0,0,0,0,0,0,0,0,2,3,2,4,10,1,1,0,1,4,1,2,3,6,9,4,0,0,1,0,0,2,0,0,0,1,0
Merlangius_merlangus,552,700,695,1040,927,2054,3180,791,1235,1445,1139,1308,2127,2207,923,1345,1508,2610,1853,2702,1036,2157,1356,1179,997,666,2080,1889,2406,757,431,1450,2414,2052,712,2307,1179,1167,849
Merluccius_merluccius,9,7,51,1,9,5,0,21,21,24,7,20,14,5,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Micromesistius_poutassou,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,53,2,0,2,0,1,0,5,0,0,1,0,0,0,0,0,2
Microstomus_kitt,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Molva_molva,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mullus_surmuletus,0,0,9,1,0,0,0,0,26,0,0,1,0,0,34,0,3,0,2,0,1,3,9,3,7,6,1,0,1,3,1,0,0,11,0,1,0,34,0
Mustelus_asterias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nerophis_lumbriciformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Parablennius_gattorugine,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Petromyzon_marinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Platichthys_flesus,58,26,54,62,65,113,161,91,54,58,48,73,90,127,71,110,108,73,122,177,107,347,69,49,49,48,71,129,146,134,85,77,141,112,79,49,42,52,41
Pleuronectes_platessa,1,0,1,0,4,4,3,4,1,6,2,12,1,14,7,21,4,1,3,5,6,19,11,0,2,15,7,10,2,8,9,4,14,4,3,2,1,18,4
Pollachius_pollachius,3,10,6,2,6,5,4,4,2,3,0,3,1,12,6,0,1,7,7,1,8,2,1,6,2,4,0,4,1,2,5,0,12,17,1,0,0,1,1
Pollachius_virens,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomatoschistus_microps,6,0,0,2,0,0,0,0,0,2,1,0,24,0,0,2,0,2,2,2,0,0,2,0,13,0,19,10,12,3,22,10,0,2,6,1,4,31,15
Pomatoschistus_minutus,305,494,236,303,63,92,120,420,214,105,144,101,113,193,279,394,313,625,519,496,381,835,201,299,190,288,725,737,111,131,244,513,165,1193,299,289,403,496,903
Pomatoschistus_pictus,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raja_brachyura,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raja_clavata,1,1,3,0,4,12,20,4,1,1,1,0,2,6,5,2,3,1,1,2,2,1,0,0,1,4,4,2,2,1,1,0,3,5,5,3,0,2,2
Raja_microocellata,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raniceps_raninus,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Salmo_salar,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Salmo_trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sardina_pilchardus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scophthalmus_maximus,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,5,1,0,0,1,0,0,0,1,1,2,0,2,0,0,0,2,0,1
Scophthalmus_rhombus,5,0,0,5,1,1,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1
Scyliorhinus_canicula,0,1,3,2,0,0,0,0,2,3,1,0,1,0,1,0,1,0,3,1,3,2,2,3,2,3,1,2,4,6,6,2,4,6,7,13,11,4,4
Solea_solea,82,77,50,65,70,65,60,102,81,166,70,168,173,219,113,140,124,164,319,188,100,927,534,174,166,198,487,530,408,940,340,415,205,208,289,588,631,901,384
Sparus_aurata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Spinachia_spinachia,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
Spondyliosoma_cantharus,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sprattus_sprattus,607,916,343,1054,227,1508,2788,928,713,940,1323,3017,2964,1486,628,2169,3363,8229,1530,1633,1030,865,961,566,2070,321,956,773,1214,2001,1119,2545,1679,3762,4509,2656,625,1505,962
Symphodus_melops,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syngnathus_acus,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,1,9,2,6,4,5,0,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0
Syngnathus_rostellatus,3,5,2,3,1,1,1,3,1,5,0,0,0,2,3,2,2,2,1,0,5,8,2,8,0,0,2,1,1,2,1,7,2,4,3,3,0,3,5
Trachurus_trachurus,0,0,0,1,1,1,0,2,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,1,1,0,1,0,0,0,0
Trigla_lyra,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trisopterus_esmarkii,0,33,11,34,10,8,6,6,5,5,1,17,16,3,13,9,12,9,5,9,2,1,13,5,6,1,1,5,2,0,0,10,34,9,5,3,1,1,2
Trisopterus_luscus,72,290,69,12,14,63,111,70,150,871,141,39,80,59,19,21,235,74,102,51,28,475,620,111,41,13,95,80,6,6,15,79,10,9,11,8,4,40,1
Trisopterus_minutus,319,1426,603,262,60,97,133,57,23,391,106,34,624,161,55,45,291,68,178,66,40,33,448,113,109,145,243,249,13,0,1,152,330,241,39,123,3,466,1
Zeugopterus_punctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeus_faber,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
