"","yr1982","yr1983","yr1984","yr1985.3","yr1986.7","yr1988","yr1989","yr1990","yr1991","yr1992","yr1993","yr1994","yr1995","yr1996","yr1997","yr1998","yr1999","yr2000","yr2001","yr2002","yr2003","yr2004","yr2005","yr2006","yr2007","yr2008","yr2009","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018"
"Pomatoschistus_minutus",34,35,36,32,31,31,33,31,28,27,29,31,34,34,34,33,34,34,35,35,36,34,33,32,33,33,32,33,33,34,32,32,33,34,35,34
"Pomatoschistus_pictus",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scophthalmus_maximus",1,3,2,2,0,0,0,0,0,0,1,1,1,0,2,3,3,5,5,5,1,1,1,1,0,1,2,4,3,3,1,1,0,2,2,3
"Raja_brachyura",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Raja_clavata",5,4,6,10,12,10,4,3,2,3,4,7,6,6,4,4,4,5,5,3,1,1,5,8,9,7,5,4,2,4,6,9,9,6,4,3
"Raja_microocellata",0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raniceps_raninus",1,2,1,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Salmo_salar",2,1,1,1,1,2,1,1,0,0,0,0,0,0,1,1,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"Sardina_pilchardus",0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Scophthalmus_rhombus",1,3,4,4,1,0,0,2,4,4,2,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1
"Scyliorhinus_canicula",4,5,4,1,0,2,5,6,4,2,1,2,1,2,1,4,4,7,5,6,6,7,7,5,5,5,6,7,6,8,10,12,13,14,14,12
"Solea_solea",29,30,31,31,32,34,34,35,32,32,30,32,30,30,30,30,32,31,32,30,32,33,35,32,33,33,32,31,29,33,34,36,35,34,33,33
"Spinachia_spinachia",2,2,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,1,1,0,0,0,0,2,2,2,0,0,1,1,1,0,0,0,0
"Spondyliosoma_cantharus",1,1,1,0,1,2,3,2,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sprattus_sprattus",32,32,33,33,32,31,31,32,31,31,31,32,30,30,32,32,32,30,30,30,32,33,34,33,33,30,29,31,34,36,34,34,34,35,34,32
"Syngnathus_acus",0,0,0,0,0,1,1,1,0,0,5,5,6,2,7,8,10,8,10,7,4,2,3,3,3,3,3,1,0,0,0,0,0,0,0,0
"Syngnathus_rostellatus",8,9,6,5,4,4,5,3,2,0,2,4,6,6,6,5,3,5,8,9,9,5,4,1,2,4,5,5,7,6,8,6,7,4,4,6
"Echiichthys_vipera",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,0,1
"Trachurus_trachurus",0,1,2,2,3,3,3,2,3,4,3,2,1,1,1,1,1,0,0,0,0,1,1,2,1,1,0,1,2,3,2,2,1,1,0,0
"Chelidonichthys_lucerna",4,4,2,1,3,6,9,7,4,0,0,2,3,5,3,3,1,2,3,3,3,1,1,0,0,0,2,4,4,4,2,3,1,5,7,13
"Trigla_lyra",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Trisopterus_esmarkii",9,16,16,12,10,7,9,5,8,10,11,10,9,11,12,10,10,8,7,6,8,9,7,4,7,8,7,2,3,7,9,9,6,5,3,3
"Trisopterus_luscus",32,28,22,21,26,32,31,34,31,28,24,24,22,22,25,29,31,28,27,29,33,33,27,22,23,22,19,13,16,16,17,13,13,12,14,11
"Trisopterus_minutus",31,33,34,31,29,27,27,30,31,32,32,29,29,25,29,27,30,28,25,22,25,29,31,30,31,27,17,7,6,17,26,27,23,15,15,9
"Zeugopterus_punctatus",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ammodytes_marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zeus_faber",0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
"Capros_aper",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,5,5
"Chelidonichthys_lastoviza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"Salmo_trutta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Mustelus_asterias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Sparus_aurata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
